gene	description	WT_6h_1	WT_6h_2	WT_6h_3	RELA_6h_1	RELA_6h_2	RELA_6h_3
Set	na	7070	6980	7080	8121	7975	7325
Setbp1	na	660	636	564	778	868	717
Setd1a	na	4922	4854	4289	5506	5743	4914
Setd2	na	6728	6820	6204	7364	7692	6469
Setd3	na	1493	1509	1482	1552	1626	1391
Setd4	na	380	385	403	469	476	440
Setd5	na	6852	6838	6372	7372	7398	6325
Setd6	na	702	762	663	858	820	777
Setd7	na	2137	2089	2049	2393	2395	2064
Setd8	na	2557	2477	2323	3109	3102	2581
Setdb1	na	3371	3298	2987	3781	3891	3186
Setdb2	na	1133	1176	1186	972	978	772
Setmar	na	87	79	91	82	103	90
Setx	na	5637	5766	5613	6291	6299	5577
Sez6	na	0	0	0	0	1	0
Sez6l	na	4	5	6	8	12	5
Sez6l2	na	230	243	198	266	277	220
Sf1	na	11068	10937	9781	12096	12563	10854
Sf3a1	na	5900	5976	5275	6338	6591	5537
Sf3a2	na	3782	3596	3271	4007	4067	3377
Sf3a3	na	3035	3068	3048	3256	3306	2983
Sf3b1	na	15692	16488	15936	17999	18240	15939
Sf3b2	na	12044	12074	11291	13613	13941	11742
Sf3b3	na	15450	16063	15488	17803	18138	15274
Sf3b4	na	994	970	946	1094	1102	974
Sf3b5	na	1487	1410	1467	1604	1550	1467
Sfi1	na	3336	3602	3063	3724	3920	3296
Sfmbt1	na	1208	1326	1167	1403	1437	1206
Sfmbt2	na	8	5	14	8	4	2
Sfn	na	1191	1185	1040	1211	1228	1065
Sfpi1	na	902	840	782	910	975	884
Sfpq	na	15453	15486	14604	17344	17479	15020
Sfr1	na	2098	2044	1941	2366	2374	2038
Sfrp1	na	0	0	0	0	0	0
Sfrp2	na	0	0	0	1	0	0
Sfrp4	na	0	0	0	0	0	0
Sfrp5	na	4	8	1	5	10	3
Sfrs18	na	6026	6320	5608	6911	7259	5956
Sfswap	na	2990	2987	2585	3223	3203	2742
Sft2d1	na	413	419	385	440	465	402
Sft2d2	na	2440	2510	2464	2632	2616	2217
Sft2d3	na	352	354	315	361	345	343
Sfta2	na	0	0	0	0	0	0
Sftpa1	na	0	0	0	0	0	0
Sftpb	na	1	2	1	0	2	0
Sftpc	na	1	0	0	0	0	0
Sftpd	na	0	0	0	0	0	0
Sfxn1	na	2661	2756	2730	3133	2999	2718
Sfxn2	na	668	750	677	665	643	573
Sfxn3	na	898	988	823	1097	1067	926
Sfxn4	na	63	84	84	69	62	72
